aX,aY,aZ,gX,gY,gZ
0.473,0.076,2.098,23.071,6.470,-4.333
0.480,-0.016,2.155,32.654,5.127,-7.568
0.530,-0.082,2.237,41.199,11.047,-15.320
0.552,-0.025,2.381,49.011,20.447,-26.062
0.555,-0.020,2.505,58.228,31.494,-38.025
0.602,-0.094,2.562,71.289,42.969,-46.753
0.583,-0.154,2.570,84.900,45.288,-53.162
0.637,-0.210,2.607,97.412,45.715,-62.500
0.622,-0.249,2.620,103.455,33.447,-74.097
0.586,-0.276,2.541,100.891,14.038,-85.083
0.559,-0.280,2.402,92.773,-3.540,-96.313
0.488,-0.238,2.244,83.862,-20.081,-106.812
0.436,-0.164,2.054,74.646,-32.288,-117.981
0.370,-0.052,1.869,66.101,-42.297,-129.028
0.291,0.055,1.695,57.495,-50.110,-139.648
0.220,0.214,1.493,47.119,-53.467,-147.888
0.193,0.326,1.188,34.546,-51.453,-149.719
0.169,0.456,0.925,22.095,-54.199,-145.935
0.101,0.500,0.671,15.076,-60.364,-140.686
0.063,0.425,0.449,20.203,-62.195,-134.521
-0.024,0.323,0.237,34.546,-67.566,-130.493
-0.074,0.180,0.105,53.406,-76.599,-131.287
-0.145,0.091,0.064,73.425,-80.139,-137.451
-0.139,0.064,0.083,90.820,-74.890,-147.522
-0.156,0.099,0.135,103.760,-67.749,-157.288
-0.117,0.187,0.176,108.948,-56.213,-163.086
-0.110,0.323,0.220,98.511,-43.884,-162.781
-0.119,0.494,0.177,69.397,-41.321,-154.785
-0.109,0.685,0.125,34.363,-42.969,-139.771
-0.140,0.834,0.079,6.042,-42.419,-124.451
-0.208,0.888,-0.026,-5.066,-37.048,-113.037
-0.327,0.889,-0.156,7.080,-23.865,-106.567
-0.406,0.826,-0.290,37.720,0.793,-108.398
-0.473,0.768,-0.319,75.500,30.457,-116.821
-0.424,0.714,-0.230,108.398,63.782,-128.174
-0.336,0.745,-0.063,123.779,71.411,-136.414
-0.295,0.855,0.215,119.080,38.452,-136.230
-0.323,1.022,0.377,94.299,-4.761,-124.817
-0.400,1.183,0.408,51.514,-39.429,-104.370
-0.488,1.376,0.311,3.540,-60.120,-81.055
-0.619,1.553,0.140,-34.241,-65.491,-55.969
-0.777,1.647,-0.065,-49.377,-57.007,-28.137
-0.869,1.555,-0.257,-42.236,-35.400,-0.671
-0.896,1.335,-0.307,-26.611,-10.864,21.118
-0.843,1.067,-0.230,-10.803,2.136,36.987
-0.762,0.825,-0.075,-0.610,-5.737,48.462
-0.737,0.664,0.123,2.441,-24.658,58.716
-0.685,0.549,0.276,-3.662,-31.677,66.406
-0.648,0.523,0.371,-15.625,-33.813,72.327
-0.611,0.539,0.416,-28.992,-36.926,78.186
-0.608,0.558,0.404,-40.344,-40.771,85.693
-0.636,0.544,0.361,-49.438,-41.260,95.276
-0.683,0.507,0.304,-55.054,-36.804,105.164
-0.716,0.451,0.267,-55.054,-26.794,112.488
-0.715,0.403,0.267,-48.523,-12.451,115.723
-0.697,0.345,0.339,-35.583,2.380,116.699
-0.639,0.305,0.445,-19.104,15.869,116.699
-0.570,0.271,0.592,-4.883,26.672,116.028
-0.493,0.242,0.759,5.066,33.142,116.089
-0.417,0.209,0.902,10.925,34.973,118.469
-0.355,0.156,0.991,12.329,33.020,123.169
-0.316,0.083,1.032,9.277,30.457,129.028
-0.293,0.005,1.045,2.686,28.381,134.338
-0.279,-0.046,1.026,-5.859,27.405,137.939
-0.268,-0.089,1.007,-13.245,27.649,139.648
-0.242,-0.126,1.001,-18.311,27.893,140.381
-0.228,-0.137,0.955,-19.958,24.841,140.320
-0.205,-0.132,0.938,-16.235,22.766,138.184
-0.176,-0.128,0.967,-9.155,23.254,135.498
-0.113,-0.148,1.029,-1.404,25.269,132.812
-0.031,-0.189,1.137,5.066,25.940,130.981
0.015,-0.239,1.198,6.897,21.729,129.761
0.069,-0.273,1.253,4.517,15.137,128.174
0.103,-0.297,1.272,-3.296,6.287,127.197
0.119,-0.319,1.239,-15.808,-5.432,126.770
0.089,-0.329,1.127,-31.372,-18.738,127.258
0.035,-0.326,0.962,-46.326,-30.212,127.319
-0.006,-0.318,0.849,-55.359,-34.851,125.244
-0.026,-0.303,0.799,-57.434,-33.325,120.789
-0.031,-0.268,0.772,-54.199,-28.625,115.051
-0.015,-0.237,0.763,-47.729,-23.132,108.398
0.016,-0.218,0.786,-41.138,-18.005,102.234
0.068,-0.219,0.846,-37.415,-13.184,96.436
0.095,-0.217,0.900,-36.560,-11.719,90.515
0.101,-0.203,0.894,-35.522,-10.864,84.229
0.103,-0.185,0.880,-30.884,-8.728,76.294
0.094,-0.172,0.893,-23.804,-7.324,67.322
0.094,-0.167,0.898,-17.578,-6.287,59.448
0.099,-0.153,0.917,-14.038,-7.141,54.077
0.099,-0.134,0.940,-15.259,-10.071,50.781
0.103,-0.106,0.925,-22.217,-12.024,49.255
0.099,-0.088,0.908,-31.860,-12.451,49.133
0.095,-0.084,0.883,-40.588,-10.315,48.889
0.098,-0.056,0.875,-46.448,-4.517,47.119
0.142,-0.050,0.902,-45.959,1.526,43.335
0.103,-0.022,0.977,-39.734,1.160,37.292
0.125,-0.032,1.082,-26.367,4.700,28.870
0.137,-0.035,1.197,-11.658,8.911,19.653
0.156,-0.015,1.314,-0.977,12.207,11.780
0.176,-0.002,1.395,2.991,14.526,6.470
0.178,0.030,1.408,-0.305,15.442,4.700
0.172,0.065,1.390,-8.362,14.099,6.409
0.157,0.074,1.361,-18.982,10.864,9.644
0.127,0.069,1.336,-29.236,7.507,12.817
0.088,0.060,1.327,-35.095,6.042,14.465
0.066,0.050,1.335,-35.889,6.348,13.550
0.057,0.052,1.337,-33.447,7.263,11.108
0.034,0.064,1.347,-28.442,7.935,7.874
0.014,0.070,1.372,-21.301,8.179,3.845
-0.001,0.079,1.380,-12.573,9.583,0.061
-0.012,0.092,1.366,-4.578,11.353,-3.113
-0.019,0.097,1.351,1.282,12.390,-4.822
-0.023,0.102,1.337,4.028,12.024,-5.371
-0.035,0.105,1.333,4.578,10.376,-4.517
-0.044,0.097,1.333,4.089,8.057,-3.113
-0.044,0.084,1.323,1.770,5.432,-1.648
-0.047,0.072,1.304,-1.526,2.380,0.000
-0.060,0.056,1.272,-4.333,-0.854,1.404
-0.080,0.040,1.228,-5.920,-3.052,2.319
-0.187,0.789,2.495,-19.348,53.894,-28.198
-0.049,0.532,2.441,24.414,73.364,-25.879
-0.122,0.607,2.969,63.171,96.436,-18.066
0.265,-0.202,3.148,113.831,118.774,-20.203
0.547,0.038,2.876,89.111,76.965,-14.343
0.350,0.082,2.389,47.241,54.077,-24.353
0.477,-0.164,1.866,39.856,19.836,-13.245
0.477,-0.453,1.347,13.184,-7.446,2.258
0.408,-0.521,1.024,-24.658,-24.353,5.920
0.401,-0.364,1.052,-48.462,-35.461,0.977
0.464,-0.276,1.142,-53.711,-41.260,-7.690
0.502,-0.116,1.194,-53.223,-43.396,-14.587
0.599,0.005,1.339,-50.049,-41.748,-20.752
0.693,0.046,1.590,-44.983,-37.903,-24.353
0.801,0.092,1.753,-38.086,-31.677,-26.001
0.874,0.071,1.885,-28.870,-27.954,-26.367
0.908,0.030,2.017,-18.555,-24.719,-27.222
0.957,-0.036,2.180,-9.033,-18.982,-31.372
0.991,-0.088,2.352,-0.610,-18.066,-39.001
0.983,-0.115,2.502,8.301,-25.208,-48.218
0.932,-0.123,2.566,18.066,-30.762,-59.570
0.883,-0.142,2.553,27.100,-32.593,-73.608
0.817,-0.146,2.519,37.048,-36.011,-88.440
0.728,-0.088,2.446,48.889,-43.640,-101.624
0.658,-0.035,2.375,61.829,-50.537,-113.281
0.596,0.020,2.298,72.937,-54.871,-123.657
0.527,0.067,2.203,81.299,-59.326,-132.690
0.488,0.089,2.118,88.379,-64.087,-142.151
0.417,0.139,1.982,90.820,-70.435,-151.733
0.416,0.181,1.795,87.463,-70.557,-159.363
0.385,0.224,1.571,77.393,-76.233,-161.316
0.335,0.282,1.284,61.340,-81.482,-159.546
0.253,0.352,0.980,46.204,-86.060,-156.311
0.116,0.441,0.678,41.382,-91.125,-151.855
0.028,0.397,0.399,51.147,-74.707,-152.832
-0.025,0.312,0.168,72.083,-53.589,-157.959
-0.001,0.220,0.065,97.717,-35.217,-167.297
0.029,0.139,0.130,121.643,-35.034,-173.645
0.007,0.182,0.264,129.456,-59.875,-170.959
-0.011,0.278,0.353,113.464,-84.167,-160.767
-0.078,0.400,0.340,71.838,-96.558,-141.174
-0.171,0.462,0.106,9.460,-103.210,-112.244
-0.256,0.542,-0.317,-62.805,-102.539,-79.224
-0.372,0.788,-0.714,-126.770,-92.773,-53.711
-0.631,1.018,-1.055,-148.254,-70.190,-50.659
-0.923,1.077,-1.349,-96.069,-30.273,-63.354
-0.976,0.938,-1.270,10.559,9.888,-86.365
-0.921,0.756,-0.788,108.398,47.485,-114.807
-0.798,0.772,-0.341,148.254,83.862,-136.475
-0.647,0.973,0.024,136.353,104.431,-142.212
-0.540,1.183,0.280,99.915,96.741,-127.747
-0.531,1.296,0.363,53.772,57.678,-96.863
-0.636,1.322,0.286,10.498,8.240,-59.692
-0.764,1.325,0.102,-19.165,-21.240,-27.039
-0.913,1.321,-0.071,-31.677,-24.536,-3.052
-1.005,1.281,-0.204,-25.696,-2.258,10.986
-0.968,1.176,-0.350,-4.944,30.945,16.846
-0.872,0.987,-0.248,22.034,44.983,19.409
-0.686,0.774,-0.067,45.105,44.250,21.912
-0.509,0.636,0.203,52.246,26.367,28.625
-0.423,0.521,0.436,44.006,1.526,39.734
-0.391,0.432,0.582,23.437,-20.203,54.626
-0.371,0.387,0.623,0.427,-37.720,71.350
-0.388,0.369,0.602,-20.691,-55.298,88.989
-0.436,0.349,0.550,-38.879,-69.885,106.689
-0.490,0.288,0.473,-51.819,-78.430,122.192
-0.533,0.209,0.413,-60.425,-79.407,132.568
-0.584,0.138,0.353,-64.514,-73.120,137.756
-0.612,0.085,0.365,-60.669,-61.401,136.963
-0.581,0.032,0.486,-50.110,-48.462,130.371
-0.540,0.002,0.637,-37.781,-36.865,121.948
-0.500,0.002,0.777,-27.771,-27.588,114.929
-0.425,0.011,0.898,-22.217,-21.729,109.680
-0.373,0.043,0.987,-21.606,-19.836,108.582
-0.349,0.058,1.024,-23.621,-19.592,111.206
-0.318,0.053,1.015,-26.672,-20.386,115.784
-0.313,0.022,0.969,-29.236,-21.362,121.826
-0.308,-0.034,0.928,-31.311,-19.958,127.869
-0.304,-0.087,0.900,-34.119,-15.991,132.874
-0.296,-0.134,0.889,-37.048,-9.521,135.254
-0.275,-0.165,0.877,-38.208,-2.319,134.216
-0.246,-0.173,0.880,-35.583,5.066,130.066
-0.207,-0.188,0.918,-29.663,11.780,123.718
-0.173,-0.210,0.948,-22.461,16.724,116.516
-0.151,-0.232,0.954,-16.052,19.897,109.375
-0.138,-0.226,0.941,-10.315,23.254,102.417
-0.128,-0.202,0.942,-4.822,26.794,95.886
-0.098,-0.182,0.973,-0.610,29.663,90.454
-0.058,-0.157,1.021,0.732,31.067,86.975
-0.014,-0.150,1.080,-1.465,30.273,85.510
0.024,-0.135,1.109,-7.141,28.015,86.731
0.042,-0.129,1.115,-15.320,23.071,88.989
0.056,-0.125,1.115,-25.024,17.700,90.637
0.059,-0.135,1.106,-34.241,12.085,90.942
0.055,-0.135,1.087,-40.405,6.897,90.210
0.051,-0.125,1.068,-42.908,2.441,88.135
0.048,-0.127,1.055,-43.274,-0.366,84.595
0.042,-0.122,1.039,-42.969,-2.075,80.505
0.045,-0.123,1.014,-43.091,-3.235,76.782
0.046,-0.139,1.011,-43.701,-5.920,72.815
0.034,-0.127,0.996,-45.410,-9.216,69.092
0.026,-0.083,0.972,-46.570,-7.996,65.369
0.049,-0.042,0.962,-45.837,-4.822,61.707
0.068,-0.011,0.974,-45.471,-4.395,58.228
0.075,0.009,0.974,-46.082,-6.531,55.542
0.081,0.018,0.977,-47.119,-9.949,53.223
0.076,0.023,0.966,-47.668,-13.977,50.537
0.053,0.034,0.925,-47.180,-17.151,46.326
0.022,0.051,0.883,-45.044,-18.433,40.344
-0.008,0.078,0.849,-41.260,-17.517,33.813
-0.026,0.106,0.810,-36.255,-15.076,27.710
-0.032,0.140,0.799,-29.785,-11.719,23.010
-0.020,0.159,0.817,-23.682,-7.446,20.020
-0.007,0.167,0.849,-20.447,-6.348,18.555
0.014,0.152,0.889,-19.531,-5.371,18.005
0.039,0.146,0.907,-20.691,-4.211,16.724
0.034,0.160,0.906,-22.034,-3.479,13.977
0.036,0.170,0.920,-18.921,-1.587,10.071
0.055,0.152,0.953,-12.756,1.587,5.249
-0.725,1.726,2.550,43.152,100.403,-83.069
0.103,1.242,2.914,161.011,163.330,-117.188
0.449,0.644,3.155,268.311,108.459,-69.458
0.597,0.111,2.414,225.952,46.570,-2.686
0.487,-0.323,1.636,98.328,18.677,30.273
0.432,-0.461,1.254,-14.771,2.319,39.917
0.330,-0.463,1.080,-83.191,-23.621,35.095
0.253,-0.326,0.937,-109.436,-52.979,23.926
0.253,-0.060,0.904,-103.943,-69.214,6.958
0.301,0.225,1.016,-80.505,-68.481,-10.254
0.357,0.453,1.255,-45.166,-54.382,-23.499
0.472,0.564,1.587,-5.066,-33.447,-30.518
0.582,0.571,1.934,28.809,-17.700,-31.067
0.693,0.574,2.251,51.331,-4.395,-27.832
0.778,0.496,2.510,64.209,8.728,-26.550
0.872,0.348,2.625,70.496,14.465,-26.733
0.891,0.253,2.663,74.768,16.541,-29.053
0.971,0.148,2.742,81.787,17.700,-37.537
0.990,0.086,2.858,89.539,3.052,-48.767
0.914,0.076,2.850,94.116,-21.484,-58.350
0.871,0.071,2.754,96.130,-35.522,-68.726
0.824,0.083,2.644,95.276,-47.913,-79.346
0.761,0.130,2.531,93.018,-63.904,-88.867
0.694,0.153,2.383,90.820,-77.698,-96.252
0.619,0.153,2.179,90.027,-89.783,-102.478
0.538,0.159,1.967,91.003,-98.083,-109.558
0.464,0.180,1.774,91.064,-101.685,-118.774
0.400,0.256,1.542,87.280,-103.271,-129.211
0.354,0.345,1.275,79.773,-104.187,-136.536
0.292,0.394,0.976,71.045,-101.318,-137.939
0.159,0.456,0.673,63.782,-97.595,-135.376
0.088,0.433,0.391,65.857,-83.008,-135.620
-0.006,0.332,0.182,82.703,-63.721,-141.846
-0.017,0.180,0.059,110.657,-45.593,-154.724
0.034,0.035,0.115,139.465,-40.283,-170.898
0.135,0.046,0.241,155.762,-57.312,-183.899
0.149,0.164,0.295,153.748,-83.008,-187.012
0.065,0.290,0.203,131.104,-100.220,-179.687
-0.028,0.412,0.036,93.506,-109.497,-166.870
-0.122,0.490,-0.156,53.101,-114.136,-147.278
-0.213,0.556,-0.368,13.794,-111.633,-124.146
-0.404,0.678,-0.601,-25.391,-99.060,-100.342
-0.476,0.833,-0.855,-55.969,-70.557,-85.083
-0.606,0.982,-0.895,-59.265,-35.767,-78.125
-0.763,1.059,-0.876,-34.485,3.845,-82.947
-0.883,1.080,-0.827,4.761,54.993,-93.445
-0.918,1.095,-0.790,36.072,105.896,-104.187
-0.939,1.113,-0.599,54.626,121.399,-111.145
-0.911,1.198,-0.401,65.979,95.581,-111.084
-1.013,1.348,-0.275,65.552,52.612,-100.159
-1.187,1.441,-0.305,56.213,48.157,-84.045
-1.199,1.434,-0.340,48.828,80.627,-66.711
-1.036,1.364,-0.241,43.640,97.473,-41.504
-1.041,1.289,-0.158,29.968,86.853,-6.287
-1.035,1.128,-0.138,4.578,75.134,28.564
-0.978,0.886,-0.094,-16.357,57.861,52.612
-0.922,0.725,0.020,-26.306,24.231,69.519
-0.820,0.617,0.123,-31.555,-4.028,80.994
-0.743,0.540,0.245,-35.339,-22.522,87.280
-0.667,0.490,0.334,-37.598,-36.499,89.600
-0.596,0.495,0.390,-39.185,-44.678,91.553
-0.566,0.522,0.432,-41.260,-46.387,97.107
-0.539,0.525,0.453,-44.922,-43.640,106.506
-0.515,0.515,0.458,-49.927,-41.992,117.676
-0.505,0.491,0.473,-52.063,-40.833,128.235
-0.488,0.439,0.495,-48.950,-36.560,136.292
-0.442,0.327,0.569,-41.138,-32.593,140.015
-0.397,0.228,0.685,-31.311,-30.334,140.198
-0.352,0.182,0.764,-22.827,-27.527,138.550
-0.311,0.141,0.830,-16.479,-22.583,135.010
-0.285,0.089,0.872,-12.817,-16.418,131.226
-0.278,0.045,0.907,-12.512,-11.047,128.601
-0.280,0.023,0.886,-14.832,-6.531,126.221
-0.282,0.014,0.848,-15.686,-2.563,122.864
-0.258,0.022,0.849,-12.939,1.648,118.164
-0.224,0.031,0.882,-8.057,6.470,113.831
-0.183,0.030,0.912,-3.052,11.108,111.755
-0.133,0.003,0.945,0.671,14.709,110.657
-0.089,-0.038,0.996,2.502,15.381,109.619
-0.053,-0.067,1.024,1.953,16.602,108.093
-0.027,-0.110,1.053,0.122,18.860,106.323
-0.021,-0.173,1.069,-2.136,19.348,103.394
-0.003,-0.219,1.056,-4.639,18.982,98.511
-0.012,-0.239,1.032,-6.897,15.442,93.689
-0.016,-0.230,1.004,-7.202,13.123,88.928
-0.017,-0.208,0.998,-6.348,12.146,84.412
-0.012,-0.191,0.988,-7.019,9.460,80.872
-0.008,-0.161,0.978,-9.277,6.226,78.979
0.018,-0.146,0.991,-12.878,2.502,78.430
0.032,-0.129,0.990,-19.043,-0.183,78.491
0.030,-0.099,0.988,-24.780,-1.770,78.979
0.032,-0.090,1.012,-26.611,-2.563,78.674
0.049,-0.101,1.063,-25.940,-2.991,76.782
0.063,-0.098,1.109,-25.330,-3.357,73.608
0.064,-0.081,1.128,-25.635,-4.639,70.068
0.078,-0.089,1.156,-25.940,-8.911,66.101
0.075,-0.133,1.156,-26.123,-16.846,61.646
0.041,-0.165,1.111,-28.381,-25.513,57.800
0.004,-0.158,1.014,-31.799,-25.452,54.016
-0.029,-0.119,0.926,-35.339,-21.179,49.866
-0.049,-0.097,0.887,-36.316,-16.602,44.800
-0.061,-0.084,0.873,-34.363,-11.902,38.879
-0.038,-0.037,0.877,-28.625,-6.287,31.921
-0.031,0.020,0.969,-18.921,-2.136,24.414
0.031,0.042,1.116,-8.789,-0.793,16.907
0.073,0.070,1.254,-4.456,-5.859,13.306
0.110,0.080,1.308,-7.080,-8.301,12.451
0.107,0.071,1.306,-14.709,-11.841,14.526
0.090,0.066,1.245,-23.926,-15.625,17.029
0.054,0.063,1.159,-32.288,-18.982,18.677
0.009,0.076,1.076,-38.147,-21.484,18.127
-0.025,0.094,1.011,-38.879,-18.616,15.686
-0.042,0.104,0.984,-34.119,-10.803,10.986
-0.048,0.130,1.028,-25.024,-1.465,4.822
-0.050,0.162,1.090,-13.489,10.681,-0.977
0.015,0.138,1.182,-3.662,25.330,-5.432
0.040,0.135,1.251,-0.916,24.414,-8.362
0.057,0.155,1.293,-0.793,19.653,-8.545
0.022,0.167,1.309,-0.549,12.024,-6.470
0.252,-0.059,1.675,-104.004,-38.879,14.832
0.238,0.033,1.513,-112.000,-4.333,7.629
0.135,0.079,1.440,-107.544,4.883,0.305
0.142,0.164,1.308,-91.980,20.996,-7.263
0.176,0.248,1.293,-68.481,43.762,-15.564
0.223,0.290,1.323,-42.908,55.298,-22.339
0.279,0.310,1.368,-19.348,60.242,-27.588
0.342,0.354,1.451,0.610,62.256,-32.104
0.487,0.468,1.812,17.639,57.861,-34.485
0.519,0.534,2.124,40.405,64.148,-42.419
0.588,0.570,2.289,67.505,61.279,-42.664
0.684,0.384,2.265,80.139,48.218,-33.875
0.634,0.310,2.145,67.261,30.518,-29.907
0.646,0.237,1.913,42.114,18.860,-26.062
0.655,0.124,1.584,15.564,7.568,-18.250
0.660,0.014,1.257,-3.052,2.747,-10.742
0.656,-0.103,1.083,-14.893,-1.221,-10.254
0.667,-0.141,1.085,-21.790,-4.211,-14.221
0.728,-0.115,1.207,-28.076,-8.789,-19.897
0.781,-0.024,1.469,-28.198,-12.451,-25.879
0.911,-0.006,1.799,-18.066,-12.268,-31.067
1.023,-0.034,2.119,-9.888,-11.902,-34.180
1.089,-0.084,2.426,-7.812,-11.658,-37.292
1.129,-0.127,2.764,-4.517,-14.221,-45.105
1.093,-0.150,3.017,8.118,-18.311,-58.411
1.077,-0.208,3.106,27.100,-28.748,-72.693
1.057,-0.250,3.078,38.879,-43.213,-87.646
1.017,-0.151,3.059,42.236,-61.035,-103.394
0.937,0.021,3.033,42.603,-82.825,-116.516
0.861,0.165,2.938,44.617,-101.257,-126.221
0.819,0.270,2.767,47.607,-115.417,-131.592
0.711,0.369,2.543,49.011,-132.019,-132.690
0.660,0.448,2.258,50.781,-140.686,-132.446
0.536,0.497,1.991,52.429,-154.236,-130.554
0.456,0.514,1.639,51.819,-164.429,-128.418
0.371,0.516,1.265,47.668,-169.861,-123.901
0.274,0.455,0.915,37.842,-173.401,-114.868
0.072,0.453,0.537,25.085,-163.940,-102.295
-0.064,0.385,0.227,16.235,-138.672,-91.675
-0.143,0.374,-0.006,13.428,-105.103,-86.975
-0.245,0.397,-0.218,22.949,-71.045,-92.529
-0.220,0.352,-0.399,57.068,-46.875,-110.596
-0.237,0.264,-0.390,117.004,-43.030,-135.803
-0.225,0.178,-0.216,181.274,-57.617,-162.109
-0.157,0.174,-0.037,225.830,-53.528,-179.260
-0.044,0.258,0.149,233.704,-43.701,-183.838
0.076,0.416,0.293,207.886,-45.105,-173.096
0.105,0.493,0.384,154.907,-52.734,-146.851
0.136,0.546,0.372,82.275,-62.988,-111.084
-0.025,0.694,0.229,9.583,-81.421,-75.928
-0.210,0.733,-0.046,-30.273,-85.693,-57.068
-0.495,0.706,-0.363,-29.297,-77.881,-49.011
-0.709,0.681,-0.655,-13.733,-52.185,-54.871
-0.890,0.693,-0.809,3.113,-13.550,-65.063
-0.956,0.716,-0.882,15.503,23.682,-77.759
-0.981,0.733,-0.787,25.818,37.720,-86.792
-0.964,0.756,-0.545,35.339,32.532,-88.867
-0.942,0.914,-0.325,34.119,29.663,-81.970
-1.022,1.130,-0.277,21.545,41.199,-67.627
-1.056,1.244,-0.279,14.648,61.340,-47.852
-1.059,1.231,-0.241,15.076,72.876,-22.278
-1.134,1.112,-0.203,14.526,69.397,5.554
-1.119,0.891,-0.215,8.606,68.665,25.635
-1.056,0.671,-0.110,3.967,56.641,29.358
-0.913,0.543,0.113,10.376,24.658,26.489
-0.747,0.469,0.316,16.418,-3.967,27.649
-0.627,0.427,0.469,11.719,-21.362,34.973
-0.562,0.377,0.554,0.488,-30.701,47.302
-0.544,0.346,0.589,-11.963,-38.818,62.256
-0.532,0.347,0.588,-24.841,-45.593,77.515
-0.547,0.338,0.537,-37.537,-48.889,93.567
-0.581,0.278,0.496,-47.852,-50.049,108.521
-0.618,0.206,0.457,-53.650,-49.805,118.774
-0.620,0.155,0.455,-53.406,-46.814,121.765
-0.588,0.100,0.511,-47.424,-41.199,119.202
-0.561,0.067,0.579,-39.551,-34.668,112.976
-0.526,0.052,0.612,-32.227,-25.391,106.201
-0.474,0.025,0.672,-25.757,-16.907,100.586
-0.415,0.010,0.739,-21.545,-10.559,97.412
-0.397,0.008,0.767,-20.142,-5.737,98.083
-0.381,0.017,0.790,-19.958,-3.113,100.830
-0.359,0.021,0.836,-19.897,-1.953,104.126
-0.350,0.009,0.856,-20.020,0.366,107.056
-0.331,-0.000,0.890,-17.456,3.357,108.521
-0.291,-0.035,0.945,-13.794,5.798,108.521
-0.246,-0.073,0.970,-12.146,8.850,108.398
-0.211,-0.094,0.969,-12.390,12.390,107.727
