aX,aY,aZ,gX,gY,gZ
-0.179,-0.140,0.979,-11.108,16.174,105.530
-0.143,-0.193,0.997,-8.240,19.104,101.929
-0.111,-0.203,1.016,-4.272,20.935,98.145
-0.074,-0.198,1.040,-0.427,21.790,95.215
-0.029,-0.206,1.076,1.099,21.423,93.018
0.011,-0.203,1.119,-0.610,18.616,91.187
0.057,-0.218,1.145,-4.272,14.038,91.187
0.078,-0.251,1.120,-11.108,6.897,93.079
0.052,-0.249,1.055,-22.217,-2.258,95.337
0.014,-0.241,0.983,-33.875,-10.498,96.191
-0.027,-0.214,0.902,-44.128,-15.869,95.825
-0.063,-0.183,0.823,-51.392,-16.357,94.177
-0.078,-0.129,0.786,-53.650,-13.794,90.271
-0.056,-0.087,0.797,-50.476,-9.644,85.083
-0.011,-0.053,0.851,-44.617,-4.517,79.468
0.026,-0.027,0.906,-39.856,0.427,74.402
0.072,-0.029,0.973,-36.011,4.333,69.641
0.120,-0.056,1.030,-33.325,5.188,64.880
0.144,-0.086,1.047,-32.593,3.418,60.730
0.151,-0.104,1.020,-34.302,1.099,56.946
0.137,-0.104,0.999,-36.804,-1.221,52.551
0.139,-0.098,0.984,-37.598,-4.150,47.424
0.130,-0.106,0.967,-38.025,-9.216,42.297
0.097,-0.086,0.912,-39.673,-13.062,37.415
0.045,-0.031,0.828,-40.222,-13.550,33.142
0.023,0.005,0.780,-39.307,-11.841,29.968
-0.009,0.009,0.769,-38.696,-10.498,27.527
-0.019,0.042,0.771,-38.818,-6.836,24.231
0.002,0.086,0.796,-36.621,-0.549,19.470
0.024,0.112,0.858,-31.311,2.380,15.320
0.076,0.116,0.959,-25.513,2.625,12.268
0.109,0.115,1.046,-21.973,2.075,9.583
0.150,0.630,2.334,108.093,95.642,-53.528
0.405,0.328,2.254,134.460,75.745,-38.025
0.480,0.083,1.748,104.370,38.452,-8.057
0.472,-0.166,1.268,44.189,15.686,11.658
0.499,-0.298,1.000,-7.751,2.808,18.677
0.470,-0.308,0.931,-40.100,-9.033,16.968
0.496,-0.267,0.967,-49.988,-19.409,9.583
0.565,-0.213,1.100,-45.105,-26.978,0.183
0.643,-0.136,1.234,-38.269,-30.457,-8.911
0.695,-0.030,1.380,-27.710,-29.724,-18.005
0.741,-0.011,1.530,-11.047,-26.489,-26.855
0.813,-0.041,1.719,6.592,-19.775,-35.278
0.890,-0.089,1.954,19.226,-14.954,-43.152
0.961,-0.103,2.221,25.269,-14.587,-49.561
1.012,-0.058,2.507,27.771,-14.526,-57.556
1.035,-0.028,2.734,32.349,-18.738,-66.772
1.019,-0.073,2.805,39.063,-30.518,-73.730
0.963,-0.078,2.730,41.748,-44.800,-81.482
0.916,-0.023,2.654,42.908,-59.631,-92.102
0.807,0.075,2.580,44.800,-77.881,-103.271
0.715,0.172,2.436,47.852,-93.384,-113.281
0.628,0.250,2.283,52.429,-105.530,-121.399
0.524,0.325,2.127,57.495,-117.493,-128.174
0.448,0.387,1.957,60.303,-126.221,-133.423
0.398,0.451,1.780,59.998,-131.897,-136.963
0.327,0.478,1.555,56.274,-136.414,-137.878
0.239,0.469,1.349,51.331,-131.287,-135.620
0.183,0.452,1.121,42.847,-127.258,-131.165
0.117,0.413,0.862,34.607,-124.207,-124.817
0.036,0.412,0.561,27.161,-120.239,-117.065
-0.077,0.417,0.289,24.902,-101.013,-113.220
-0.175,0.456,0.106,30.090,-73.608,-114.502
-0.230,0.383,-0.029,50.415,-45.044,-122.375
-0.232,0.203,-0.110,82.886,-27.527,-134.216
-0.200,0.057,-0.082,112.915,-30.884,-149.719
-0.214,0.029,0.016,132.629,-48.767,-162.109
-0.222,0.078,0.084,137.451,-66.650,-167.419
-0.169,0.155,0.119,123.718,-71.411,-165.649
-0.149,0.299,0.099,92.163,-74.341,-155.029
-0.092,0.546,0.011,46.570,-78.125,-135.681
-0.156,0.769,-0.081,-0.305,-78.369,-111.877
-0.276,0.898,-0.207,-31.860,-70.801,-90.576
-0.458,0.942,-0.341,-38.208,-53.894,-75.989
-0.608,0.890,-0.442,-22.217,-36.377,-72.266
-0.720,0.829,-0.462,2.686,-12.695,-76.721
-0.784,0.834,-0.357,22.156,9.033,-84.717
-0.748,0.920,-0.184,29.297,24.292,-90.881
-0.707,1.029,-0.038,24.963,23.743,-88.379
-0.726,1.128,0.011,12.268,6.409,-76.904
-0.815,1.205,0.018,0.854,-15.503,-60.547
-0.938,1.280,-0.037,-4.150,-22.522,-43.823
-1.055,1.309,-0.114,-2.625,-9.033,-28.381
-1.111,1.275,-0.210,3.906,18.250,-14.648
-1.115,1.168,-0.237,13.062,38.940,-2.502
-1.067,1.010,-0.151,21.545,38.940,10.132
-1.011,0.840,-0.031,24.536,27.344,22.949
-0.924,0.679,0.110,22.156,16.907,32.837
-0.824,0.564,0.276,17.151,3.113,39.551
-0.707,0.525,0.404,9.705,-11.047,46.753
-0.640,0.522,0.488,0.305,-23.132,57.190
-0.614,0.517,0.530,-9.705,-32.104,70.068
-0.598,0.521,0.544,-20.691,-37.109,84.473
-0.607,0.498,0.549,-31.311,-37.598,99.121
-0.629,0.424,0.563,-39.001,-35.400,112.061
-0.631,0.336,0.586,-42.419,-30.884,120.789
-0.627,0.266,0.618,-42.969,-24.414,124.573
-0.608,0.200,0.674,-39.368,-16.968,123.779
-0.571,0.147,0.751,-31.311,-10.681,119.507
-0.533,0.124,0.827,-21.179,-5.188,112.488
-0.493,0.124,0.915,-11.780,-0.916,105.164
-0.430,0.148,1.007,-6.104,2.319,99.854
-0.378,0.161,1.076,-4.822,3.357,98.145
-0.346,0.175,1.097,-7.507,2.869,101.074
-0.335,0.181,1.071,-11.902,1.526,107.117
-0.333,0.158,1.025,-15.808,1.587,114.685
-0.324,0.109,0.982,-17.944,3.601,121.033
-0.310,0.051,0.958,-18.860,7.385,124.268
-0.278,-0.005,0.961,-17.212,11.292,123.596
-0.234,-0.032,0.965,-14.038,14.343,119.995
-0.195,-0.048,0.969,-10.071,15.869,114.441
-0.170,-0.069,0.957,-6.775,15.137,108.521
-0.158,-0.086,0.933,-5.310,12.207,103.394
-0.143,-0.081,0.901,-5.676,7.446,99.915
-0.152,-0.082,0.852,-8.728,2.014,98.999
-0.177,-0.082,0.788,-15.076,-2.319,100.403
-0.204,-0.079,0.722,-22.461,-4.333,102.051
-0.231,-0.060,0.666,-27.161,-3.479,101.807
-0.212,-0.035,0.667,-26.367,0.427,99.182
-0.160,-0.019,0.720,-21.973,6.226,94.727
-0.093,-0.024,0.779,-18.066,10.681,90.149
-0.036,-0.038,0.821,-16.357,12.085,86.975
0.008,-0.056,0.836,-18.188,9.399,84.900
0.025,-0.059,0.832,-22.888,3.784,82.703
0.027,-0.044,0.828,-29.541,-1.709,79.956
0.019,-0.013,0.805,-37.109,-6.348,77.026
-0.026,0.014,0.741,-43.945,-9.766,74.890
-0.059,0.025,0.682,-46.997,-9.460,72.632
-0.072,0.033,0.646,-46.631,-6.531,69.519
-0.070,0.026,0.649,-43.091,-2.319,65.552
-0.055,-0.000,0.669,-39.490,1.587,61.951
-0.041,-0.052,0.693,-39.429,2.991,58.350
-0.050,-0.073,0.661,-45.227,3.601,55.603
-0.061,-0.084,0.611,-53.467,6.226,52.185
-0.084,-0.086,0.596,-59.814,8.789,45.837
-0.100,-0.069,0.602,-61.279,14.038,36.255
-0.100,-0.023,0.640,-55.542,21.667,24.231
-0.060,-0.001,0.727,-46.082,28.992,10.925
0.011,0.023,0.822,-39.246,32.410,-1.099
0.057,0.074,0.908,-37.292,31.616,-9.338
0.082,0.145,0.958,-38.757,26.855,-12.634
0.095,0.185,0.952,-42.114,23.621,-11.108
0.071,0.175,0.935,-46.143,21.301,-6.836
0.051,0.163,0.907,-49.561,20.630,-4.272
0.015,0.144,0.881,-50.049,22.705,-3.967
-0.016,0.176,0.867,-45.959,28.809,-6.348
0.008,0.181,0.899,-34.729,42.114,-12.024
0.056,0.188,0.991,-19.714,49.377,-18.555
0.085,0.200,1.094,-4.822,50.354,-23.743
0.088,0.202,1.206,8.362,48.157,-28.198
0.040,1.599,3.536,106.079,153.442,-140.564
0.691,0.650,3.736,268.799,113.831,-105.530
0.829,0.158,2.670,258.423,36.804,-13.611
0.774,-0.331,1.811,140.381,-1.648,28.564
0.655,-0.525,1.348,5.188,-17.883,39.429
0.512,-0.578,1.138,-93.933,-38.940,39.368
0.426,-0.545,0.898,-138.306,-59.875,31.616
0.405,-0.354,0.790,-140.930,-81.360,16.357
0.430,-0.057,0.912,-116.150,-90.393,-3.784
0.485,0.191,1.105,-77.515,-76.965,-21.423
0.560,0.316,1.279,-35.950,-53.345,-32.532
0.694,0.332,1.538,4.578,-27.710,-36.804
0.817,0.309,1.862,32.410,-10.315,-38.757
0.898,0.247,2.108,45.715,-3.845,-40.039
0.969,0.134,2.238,50.903,-2.380,-41.809
0.998,0.038,2.287,51.575,-2.319,-47.974
0.991,0.001,2.314,49.011,-7.812,-58.716
1.020,0.022,2.306,45.837,-19.470,-72.327
0.996,0.088,2.309,44.189,-38.940,-86.365
0.893,0.194,2.226,46.143,-63.416,-96.313
0.855,0.290,2.146,52.795,-70.740,-105.164
0.776,0.311,2.086,58.167,-80.383,-112.976
0.684,0.350,1.962,60.120,-91.125,-119.934
0.595,0.400,1.862,62.683,-97.900,-126.282
0.510,0.415,1.730,66.833,-101.013,-132.202
0.434,0.385,1.567,73.486,-101.196,-138.855
0.371,0.332,1.417,81.482,-101.746,-146.118
0.303,0.284,1.269,89.539,-101.501,-153.992
0.276,0.231,1.148,94.116,-96.375,-161.926
0.183,0.205,1.006,93.201,-93.811,-169.800
0.125,0.198,0.820,90.820,-90.698,-176.453
-0.004,0.234,0.643,85.938,-94.421,-179.932
-0.091,0.293,0.464,76.416,-91.675,-182.068
-0.129,0.358,0.293,63.965,-80.322,-182.068
-0.168,0.415,0.197,49.927,-82.886,-178.406
-0.162,0.502,0.120,38.940,-96.252,-172.241
-0.214,0.573,0.118,29.785,-118.774,-163.879
-0.262,0.668,0.032,20.264,-133.484,-153.259
-0.354,0.786,-0.142,10.864,-139.221,-140.381
-0.528,0.865,-0.379,6.104,-136.658,-130.188
-0.673,0.946,-0.640,9.644,-116.394,-122.192
-0.869,0.978,-0.761,21.118,-86.060,-115.723
-0.930,0.988,-0.751,36.377,-46.204,-114.746
-0.913,1.013,-0.560,50.964,-7.202,-114.868
-0.806,1.156,-0.330,55.176,21.851,-110.901
-0.727,1.362,-0.132,47.791,44.312,-100.647
-0.713,1.502,-0.049,39.612,51.880,-85.510
-0.748,1.454,-0.018,38.940,37.903,-67.200
-0.822,1.302,0.014,40.894,4.639,-48.401
-0.902,1.187,0.016,36.682,-23.804,-31.982
-0.944,1.140,-0.035,26.611,-28.076,-19.409
-0.974,1.185,-0.114,17.456,-10.620,-7.751
-0.967,1.176,-0.155,15.503,14.648,3.784
-0.874,1.057,-0.121,20.935,32.837,15.381
-0.775,0.894,0.020,28.381,36.011,28.442
-0.683,0.726,0.168,31.372,31.433,42.419
-0.589,0.569,0.283,26.062,26.062,54.260
-0.508,0.463,0.396,15.991,16.296,62.805
-0.463,0.396,0.455,5.676,4.944,69.641
-0.439,0.345,0.492,-2.563,-6.714,76.233
-0.450,0.321,0.506,-10.864,-17.822,81.970
-0.487,0.329,0.477,-21.362,-25.635,87.280
-0.539,0.385,0.411,-31.860,-29.114,93.201
-0.584,0.435,0.377,-39.063,-27.405,100.647
-0.609,0.461,0.381,-42.175,-20.935,109.497
-0.607,0.449,0.415,-42.175,-11.414,117.310
-0.581,0.414,0.484,-38.086,-2.075,122.009
-0.539,0.359,0.571,-28.992,7.874,123.474
-0.471,0.297,0.691,-16.174,16.418,122.681
-0.380,0.233,0.832,-5.249,20.935,121.643
-0.297,0.175,0.948,-2.441,23.193,122.986
-0.245,0.138,0.998,-7.507,22.827,126.404
-0.228,0.117,0.992,-16.418,20.874,130.310
-0.232,0.101,0.949,-23.682,19.958,133.301
-0.250,0.101,0.894,-25.574,20.142,134.033
-0.249,0.108,0.862,-21.912,22.644,132.446
-0.228,0.104,0.874,-14.587,27.039,128.845
-0.185,0.109,0.893,-7.080,32.532,125.549
-0.136,0.110,0.917,-1.160,36.865,123.474
-0.088,0.081,0.947,2.930,39.734,122.314
-0.045,0.036,0.968,4.578,41.504,121.887
-0.001,-0.011,0.986,3.906,40.466,121.582
0.023,-0.053,0.974,0.061,36.926,121.704
0.032,-0.090,0.932,-5.371,32.593,122.009
0.037,-0.115,0.887,-10.742,27.283,121.399
0.066,-0.126,0.842,-15.747,22.766,119.141
0.056,-0.138,0.790,-20.203,17.517,116.577
0.042,-0.138,0.727,-23.071,14.038,113.892
0.052,-0.159,0.708,-23.682,12.695,109.741
0.074,-0.167,0.710,-22.522,11.780,103.760
0.073,-0.158,0.732,-20.264,10.803,97.229
0.103,-0.152,0.771,-18.188,9.277,90.698
0.121,-0.174,0.833,-19.287,2.808,85.449
0.121,-0.173,0.871,-26.062,-3.479,82.764
0.106,-0.161,0.843,-37.476,-5.798,82.520
0.059,-0.143,0.745,-50.781,-8.057,82.764
0.007,-0.107,0.666,-59.082,-8.789,81.726
-0.011,-0.111,0.653,-59.753,-6.409,77.759
-0.008,-0.111,0.666,-55.481,-1.282,71.045
0.021,-0.101,0.707,-47.058,2.319,63.354
0.005,-0.086,0.813,-37.048,2.258,55.542
0.071,-0.112,0.914,-28.320,9.216,46.387
0.112,-0.120,0.998,-24.536,18.127,38.147
0.132,-0.070,1.035,-24.963,21.729,33.203
0.152,-0.021,1.092,-24.963,23.315,29.358
0.181,0.008,1.172,-24.292,22.705,25.513
0.203,0.021,1.265,-24.658,20.508,22.156
0.207,0.038,1.337,-26.489,18.860,18.738
0.201,0.074,1.364,-27.649,19.836,14.648
0.179,0.121,1.374,-26.306,18.921,10.376
0.162,0.165,1.409,-23.865,15.320,7.202
0.154,0.222,1.434,-23.560,13.184,6.042
0.145,0.272,1.436,-25.146,14.771,6.897
0.146,0.298,1.411,-27.344,18.616,8.423
0.132,0.299,1.410,-27.588,19.226,9.705
0.126,0.280,1.423,-25.208,18.494,10.864
0.125,0.260,1.442,-20.996,17.822,10.986
0.119,0.237,1.431,-17.151,17.334,10.498
0.107,0.203,1.402,-14.038,16.357,9.460
-0.336,1.302,2.636,50.842,113.403,-105.164
0.357,0.748,2.842,149.292,140.869,-122.742
0.605,0.429,2.591,210.510,106.018,-79.224
0.674,0.039,2.077,185.059,62.317,-35.461
0.637,-0.226,1.752,108.948,39.001,-10.803
0.549,-0.283,1.610,29.785,31.311,-0.671
0.518,-0.243,1.630,-18.799,19.165,0.732
0.546,-0.199,1.682,-31.555,7.690,-3.723
0.593,-0.098,1.857,-25.330,1.465,-11.658
0.658,0.014,2.067,-10.193,0.916,-23.376
0.735,0.075,2.383,19.104,7.141,-32.959
0.786,0.060,2.693,53.650,10.986,-38.452
0.820,-0.054,2.814,73.975,3.479,-37.964
0.807,-0.176,2.733,67.566,-8.667,-35.278
0.721,-0.177,2.592,45.837,-19.958,-37.231
0.676,-0.132,2.550,29.419,-24.353,-45.654
0.599,-0.030,2.532,24.658,-40.283,-56.641
0.501,0.055,2.436,34.119,-62.256,-66.772
0.412,0.151,2.275,50.842,-72.998,-76.599
0.359,0.229,2.109,66.162,-73.669,-86.731
0.309,0.306,1.948,77.026,-74.707,-95.032
0.250,0.370,1.756,84.351,-80.017,-99.304
0.227,0.377,1.545,90.149,-81.604,-100.708
0.216,0.350,1.347,93.872,-78.369,-100.159
0.227,0.286,1.168,95.520,-78.796,-99.121
0.245,0.247,1.002,91.858,-82.458,-97.839
0.273,0.212,0.815,84.229,-81.482,-98.389
0.286,0.215,0.590,76.477,-78.064,-100.708
0.231,0.203,0.363,77.393,-74.402,-104.065
0.171,0.151,0.116,89.722,-61.768,-109.802
0.096,0.075,-0.079,107.239,-46.814,-118.896
0.092,0.039,-0.173,123.047,-34.424,-131.409
0.177,-0.038,-0.101,136.047,-24.841,-146.179
0.234,-0.066,0.053,139.343,-25.391,-157.593
0.316,-0.010,0.194,132.263,-31.799,-165.222
0.361,0.022,0.285,119.995,-41.077,-169.189
0.369,0.114,0.309,100.159,-54.810,-168.396
0.347,0.287,0.241,73.730,-71.716,-162.842
0.186,0.376,0.158,47.546,-90.759,-150.085
0.089,0.447,0.026,20.569,-104.614,-135.437
-0.003,0.547,-0.020,-5.981,-109.375,-120.911
-0.056,0.621,-0.005,-28.503,-115.906,-106.506
-0.157,0.664,-0.045,-44.861,-116.150,-91.553
-0.275,0.675,-0.114,-54.749,-111.572,-77.637
-0.416,0.749,-0.210,-63.782,-102.417,-66.345
-0.568,0.865,-0.323,-72.021,-85.754,-59.204
-0.711,0.993,-0.367,-71.960,-68.604,-54.932
-0.824,1.101,-0.344,-59.448,-58.350,-52.612
-0.886,1.173,-0.231,-37.231,-60.181,-50.476
-0.914,1.177,-0.091,-14.282,-65.369,-44.800
-0.952,1.122,0.027,-0.427,-65.857,-34.302
-1.009,1.075,0.022,0.854,-58.044,-18.860
-1.078,1.022,-0.041,-7.751,-41.931,-0.366
-1.141,0.953,-0.091,-20.386,-21.179,20.203
-1.135,0.794,-0.089,-29.114,-6.042,39.978
-1.113,0.619,-0.021,-31.433,-4.456,57.617
-1.083,0.479,0.048,-31.799,-7.996,71.167
-1.031,0.370,0.119,-32.776,-7.324,78.369
-0.966,0.305,0.191,-33.936,-3.296,80.872
-0.909,0.276,0.257,-33.813,1.343,80.811
-0.859,0.258,0.313,-32.043,4.883,80.078
-0.821,0.276,0.338,-30.884,8.728,80.139
-0.788,0.305,0.339,-31.372,14.587,81.726
-0.733,0.327,0.367,-30.090,22.156,84.290
-0.653,0.317,0.439,-26.306,29.724,88.501
-0.581,0.274,0.525,-22.339,35.950,94.238
-0.518,0.227,0.599,-19.897,40.588,99.487
-0.452,0.194,0.681,-18.616,43.823,103.394
-0.380,0.161,0.767,-17.944,44.861,106.750
-0.330,0.125,0.828,-18.005,42.969,110.046
-0.295,0.098,0.842,-19.348,39.612,112.854
-0.287,0.078,0.824,-21.484,36.987,114.746
-0.282,0.042,0.802,-21.362,37.170,115.234
-0.269,-0.002,0.813,-18.738,37.598,114.258
-0.241,-0.019,0.838,-15.869,37.476,111.816
-0.188,-0.017,0.854,-15.381,36.560,109.680
-0.161,-0.016,0.851,-17.822,35.583,109.619
-0.130,-0.015,0.845,-19.836,35.400,111.206
-0.100,-0.037,0.864,-20.142,34.912,113.098
-0.071,-0.094,0.884,-19.043,34.241,114.319
-0.037,-0.153,0.883,-18.311,33.264,114.685
-0.011,-0.185,0.884,-18.677,32.104,113.037
0.020,-0.207,0.906,-19.958,30.273,109.009
0.048,-0.211,0.922,-21.790,26.855,103.699
0.070,-0.186,0.919,-23.804,21.667,97.839
0.065,-0.167,0.901,-24.170,16.479,91.431
0.064,-0.164,0.882,-22.949,12.695,85.449
0.072,-0.166,0.876,-21.667,9.277,80.261
0.083,-0.162,0.876,-22.034,5.859,76.233
0.087,-0.164,0.871,-25.024,2.319,73.792
0.077,-0.174,0.854,-31.738,-1.465,72.632
0.053,-0.170,0.823,-40.649,-4.456,72.205
0.041,-0.150,0.799,-49.011,-5.615,71.472
0.029,-0.135,0.795,-53.528,-4.395,67.871
0.025,-0.116,0.809,-52.917,-1.953,61.462
0.052,-0.085,0.857,-47.607,0.793,53.528
0.099,-0.065,0.930,-40.771,1.282,46.509
0.142,-0.053,0.990,-36.743,0.122,41.321
0.164,-0.050,1.014,-36.865,-2.625,38.086
0.175,-0.053,1.011,-40.039,-6.592,36.438
0.148,-0.066,0.979,-44.678,-10.742,34.363
0.092,-0.064,0.931,-47.607,-13.062,30.151
0.033,-0.006,0.877,-44.373,-8.057,23.865
0.007,0.018,0.862,-34.668,1.892,15.991
0.011,0.022,0.918,-21.790,13.367,6.836
0.056,-0.005,1.015,-9.338,22.522,-0.916
0.098,-0.017,1.107,-2.625,28.198,-5.554
0.143,-0.021,1.215,-1.465,27.954,-7.935
0.189,-0.042,1.323,-6.836,19.653,-7.568
0.190,-0.065,1.390,-20.264,6.897,-4.761
0.160,-0.056,1.363,-39.612,-1.892,-2.075
0.097,0.000,1.250,-57.251,-4.333,0.061
0.049,0.047,1.195,-63.843,-8.362,-0.549
-0.002,0.105,1.186,-59.326,-14.099,-3.601
-0.055,0.187,1.244,-47.241,-12.756,-8.850
-0.035,0.213,1.308,-30.396,-4.150,-15.198
-0.012,0.219,1.400,-15.259,4.272,-19.714
-0.006,0.212,1.489,-6.592,9.033,-21.912
0.003,0.214,1.532,-3.052,14.099,-22.705
0.152,0.580,1.887,-82.520,0.671,-21.606
0.200,0.567,1.765,-78.918,-0.427,-17.639
0.169,0.575,1.694,-71.777,10.498,-16.235
0.233,0.527,1.727,-59.937,24.719,-15.503
0.248,0.661,1.907,-36.804,41.138,-24.719
0.282,0.664,2.052,5.798,61.279,-41.077
0.367,0.736,2.361,56.213,66.833,-44.189
0.543,0.554,2.504,93.445,68.298,-43.030
0.681,0.366,2.589,101.074,49.133,-34.851
0.791,0.231,2.453,72.449,22.705,-17.578
0.826,0.148,2.200,24.536,5.432,1.282
0.853,0.044,2.058,-15.808,-5.859,13.123
0.842,-0.010,2.071,-37.598,-15.625,16.785
0.873,-0.016,2.114,-36.438,-17.761,9.583
0.907,-0.107,2.098,-20.386,-21.362,-4.333
0.923,-0.120,2.171,0.244,-24.048,-20.935
0.912,-0.015,2.319,28.137,-20.691,-43.518
0.901,0.065,2.443,62.805,-20.691,-66.223
0.931,0.000,2.453,92.712,-28.381,-80.688
0.955,-0.075,2.382,103.760,-37.842,-90.576
0.927,-0.082,2.380,102.234,-51.147,-100.464
0.888,-0.030,2.335,99.121,-65.063,-110.413
0.854,0.014,2.241,97.900,-74.646,-120.117
0.808,0.034,2.137,96.008,-90.759,-128.052
0.756,0.068,1.986,92.041,-108.276,-135.071
0.694,0.094,1.825,85.693,-120.483,-142.456
0.619,0.137,1.619,76.660,-137.329,-149.231
0.555,0.172,1.359,67.261,-150.391,-154.236
0.504,0.231,1.073,57.251,-162.048,-157.043
0.374,0.311,0.766,48.035,-167.114,-158.936
0.315,0.375,0.463,44.189,-157.654,-161.316
0.173,0.485,0.241,47.791,-150.940,-163.147
0.009,0.508,0.065,62.256,-132.568,-165.894
-0.086,0.506,-0.064,84.473,-105.286,-171.082
-0.073,0.394,-0.111,109.314,-83.313,-177.368
-0.080,0.343,-0.160,125.000,-82.275,-179.077
-0.048,0.314,-0.125,125.671,-97.839,-174.011
0.007,0.375,-0.011,109.802,-121.521,-163.635
0.047,0.426,0.055,82.275,-136.108,-149.231
-0.018,0.471,0.029,48.767,-150.269,-131.470
-0.100,0.537,-0.133,15.320,-160.522,-115.417
-0.246,0.641,-0.350,-10.376,-159.790,-100.403
-0.537,0.785,-0.611,-30.579,-144.531,-87.158
-0.789,0.936,-0.851,-41.992,-108.215,-76.721
-0.965,1.054,-0.904,-40.710,-67.932,-69.397
-1.046,1.164,-0.809,-33.325,-31.311,-63.538
-1.083,1.295,-0.675,-28.503,-2.991,-56.580
-1.053,1.424,-0.514,-25.513,14.893,-49.683
-1.003,1.472,-0.303,-16.602,10.376,-42.114
-0.979,1.418,-0.080,-4.333,-12.756,-31.921
-0.999,1.345,0.006,0.061,-31.067,-20.264
-1.051,1.308,-0.020,-4.456,-31.677,-6.836
-1.096,1.277,-0.085,-12.756,-20.630,8.972
-1.115,1.218,-0.130,-20.142,-4.639,26.794
-1.091,1.097,-0.120,-23.071,9.888,44.006
-1.032,0.920,-0.036,-20.447,20.020,58.960
